mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0.31399011611938477,0.0,0.005811929702758789,0.0,3,0.2,"{'max_depth': 3, 'max_features': 0.2}",0.9774243381773554,0.9774243381773554,0.0,1
0.329481840133667,0.0,0.001024007797241211,0.0,6,0.3,"{'max_depth': 6, 'max_features': 0.3}",0.9642648766313482,0.9642648766313482,0.0,2
0.32974886894226074,0.0,0.0030548572540283203,0.0,3,0.3,"{'max_depth': 3, 'max_features': 0.3}",0.962979854549501,0.962979854549501,0.0,3
0.3276400566101074,0.0,0.000985860824584961,0.0,5,0.3,"{'max_depth': 5, 'max_features': 0.3}",0.9579274375750518,0.9579274375750518,0.0,4
0.3357203006744385,0.0,0.0011599063873291016,0.0,4,0.3,"{'max_depth': 4, 'max_features': 0.3}",0.9520325818296664,0.9520325818296664,0.0,5
0.3601877689361572,0.0,0.002565145492553711,0.0,4,0.5,"{'max_depth': 4, 'max_features': 0.5}",0.94567877688815,0.94567877688815,0.0,6
0.32263875007629395,0.0,0.0008971691131591797,0.0,4,0.2,"{'max_depth': 4, 'max_features': 0.2}",0.9444296641364588,0.9444296641364588,0.0,7
0.35257697105407715,0.0,0.0009639263153076172,0.0,5,0.5,"{'max_depth': 5, 'max_features': 0.5}",0.9394010939293758,0.9394010939293758,0.0,8
0.28618383407592773,0.0,0.0008490085601806641,0.0,2,0.3,"{'max_depth': 2, 'max_features': 0.3}",0.9386899931158222,0.9386899931158222,0.0,9
0.30931782722473145,0.0,0.0010111331939697266,0.0,7,0.2,"{'max_depth': 7, 'max_features': 0.2}",0.9355235187044952,0.9355235187044952,0.0,10
0.27660584449768066,0.0,0.01044607162475586,0.0,1,0.2,"{'max_depth': 1, 'max_features': 0.2}",0.9320829453980499,0.9320829453980499,0.0,11
0.30014491081237793,0.0,0.0010101795196533203,0.0,7,0.3,"{'max_depth': 7, 'max_features': 0.3}",0.9309577145464933,0.9309577145464933,0.0,12
0.4123342037200928,0.0,0.0014882087707519531,0.0,4,0.7,"{'max_depth': 4, 'max_features': 0.7}",0.9299724554453659,0.9299724554453659,0.0,13
0.290571928024292,0.0,0.0010330677032470703,0.0,6,0.2,"{'max_depth': 6, 'max_features': 0.2}",0.9278086951624025,0.9278086951624025,0.0,14
0.39542388916015625,0.0,0.0010869503021240234,0.0,3,0.6,"{'max_depth': 3, 'max_features': 0.6}",0.9266095528593664,0.9266095528593664,0.0,15
0.40992283821105957,0.0,0.0012600421905517578,0.0,4,0.6,"{'max_depth': 4, 'max_features': 0.6}",0.9259708834981574,0.9259708834981574,0.0,16
0.34535908699035645,0.0,0.0008881092071533203,0.0,4,0.4,"{'max_depth': 4, 'max_features': 0.4}",0.9250518803236061,0.9250518803236061,0.0,17
0.31291723251342773,0.0,0.0008208751678466797,0.0,2,0.2,"{'max_depth': 2, 'max_features': 0.2}",0.9246886221586226,0.9246886221586226,0.0,18
0.35799670219421387,0.0,0.0008602142333984375,0.0,2,0.6,"{'max_depth': 2, 'max_features': 0.6}",0.9219106041210452,0.9219106041210452,0.0,19
0.32177114486694336,0.0,0.0007770061492919922,0.0,1,0.6,"{'max_depth': 1, 'max_features': 0.6}",0.9207384560523144,0.9207384560523144,0.0,20
0.3118100166320801,0.0,0.0008871555328369141,0.0,1,0.7,"{'max_depth': 1, 'max_features': 0.7}",0.9205093073025599,0.9205093073025599,0.0,21
0.31326842308044434,0.0,0.0008146762847900391,0.0,1,0.9,"{'max_depth': 1, 'max_features': 0.9}",0.9199152579915211,0.9199152579915211,0.0,22
0.41325902938842773,0.0,0.000843048095703125,0.0,3,0.8,"{'max_depth': 3, 'max_features': 0.8}",0.9182654635190658,0.9182654635190658,0.0,23
0.27068400382995605,0.0,0.0007860660552978516,0.0,1,0.3,"{'max_depth': 1, 'max_features': 0.3}",0.9152473920508015,0.9152473920508015,0.0,24
