    0.0000	    1.0000	    3.0000	    4.0000	    9.0000	   11.0000	   14.0000	   15.0000	   16.0000	   18.0000	   19.0000	   22.0000	   23.0000	   24.0000	   25.0000	   27.0000
  122.0000	  210.0000	    0.0000	   63.0000	    0.0000	    2.8000	  155.0000	  332.0000	    0.0000	  230.0000	  110.0000	    0.0000	    0.0000	    0.0000	    0.0000	    0.0000
  123.0000	  587.0000	  231.0000	  501.8000	    0.1200	    1.7000	  142.0000	  326.0000	  180.0000	  430.0000	   73.0000	  127.0000	  184.0000	   30.0000	    6.0000	   88.0000
  123.4000	  784.1000	  278.0000	   60.0000	    0.3400	    2.0500	  149.2000	  310.3333	  268.6667	  507.3333	   64.7028	  152.0000	    0.0000	   40.0000	   10.0000	   83.0000
  123.8000	  760.4500	  316.3500	   61.8400	    0.2400	    2.0000	  180.0000	  269.0000	  248.0000	  548.0000	   72.1690	   97.0000	  179.0000	   36.0000	   10.0000	  112.8900
  123.8000	  770.0000	  270.0000	   58.6200	    0.7400	    2.0000	  162.5000	  290.0000	  238.0000	  541.0000	   70.2597	  148.5000	  234.0000	   38.0000	   15.5000	   74.5000
  124.0000	  780.0000	  279.4000	   59.7500	    0.3100	    2.0000	  244.8615	  304.0000	  249.0000	  551.0000	   71.5584	  145.0000	  234.0000	   36.0000	   21.0000	   66.0000
  125.1000	  752.5500	  290.9500	   61.3000	    0.2000	    2.0000	  189.0000	  261.0000	  253.0000	  530.0000	   70.4308	    0.0000	    0.0000	    0.0000	    0.0000	    0.0000
  126.0000	  343.0000	  256.0000	   66.9000	    0.0710	    2.1000	  156.0000	  368.0000	    0.0000	  351.0000	  102.3324	    0.0000	    0.0000	    0.0000	    0.0000	    0.0000
  127.5000	  344.0000	  256.0000	   66.0300	    0.0710	    2.0000	  165.4000	  361.0000	    0.0000	  347.0000	  100.8721	    0.0000	    0.0000	    0.0000	    0.0000	    0.0000
  127.8000	  601.0000	  250.0000	   66.7000	    0.0710	    2.0000	  178.0000	  348.0000	  101.0000	  523.0000	   87.0216	    0.0000	    0.0000	    0.0000	    0.0000	    0.0000
  130.7000	  409.6300	  196.4000	   45.7300	    0.0000	    2.0000	  134.0000	  318.0000	   64.4024	  350.0000	   85.4430	    0.0000	    0.0000	    0.0000	    0.0000	   77.0000
  131.0000	  132.6000	  165.3000	   54.8000	    0.0720	    2.7000	  109.0000	  480.0000	    0.0000	  142.0000	  107.0000	    0.0000	    0.0000	    0.0000	    0.0000	  103.0100
  131.6000	  543.7800	  225.5000	   46.8200	    0.0000	    2.1000	  168.0000	  268.0000	   71.7318	  482.0000	   88.6388	    0.0000	    0.0000	    0.0000	    0.0000	    0.0000
  132.0000	  376.1100	  228.0000	   48.7500	    0.0000	    2.1000	  130.0000	  510.0000	   40.1000	  367.0000	   97.5778	    0.0000	    0.0000	    0.0000	    0.0000	  103.0000
  133.0000	  315.0000	  173.7000	   44.2900	    0.0000	    2.1000	  122.0000	  387.0000	   52.9592	  272.0000	   86.3492	    0.0000	    0.0000	    0.0000	    0.0000	    0.0000
  139.6000	  486.0000	    0.0000	   54.8000	    0.0000	    2.0000	  110.0000	  480.0000	  233.8116	  253.0000	   52.0576	    0.0000	    0.0000	    0.0000	    0.0000	    0.0000
  141.8000	  141.7500	  158.8000	   55.4700	    0.1100	    2.3000	  117.0000	  404.0000	    0.0000	  149.0000	  105.1146	  187.0000	  350.0000	   30.6000	   22.0000	   75.0000
  142.0000	  100.6333	  126.8500	   51.9600	    0.7610	    2.1000	   94.0000	  500.0000	    0.0000	   95.9000	  106.8325	  138.0000	  256.0000	   33.7000	   21.0000	  118.1100
  142.5000	  133.7300	  133.1000	   52.1700	    0.1000	    2.1000	  105.0000	  326.0000	    9.5000	   92.0000	   68.7953	   87.0000	  175.0000	   35.7000	   19.0000	  105.4200
  144.2000	  343.0000	    0.0000	   40.1100	    0.0000	    2.1000	  112.0000	  380.0000	   69.5000	  286.0000	   83.3819	    0.0000	    0.0000	    0.0000	    0.0000	    0.0000
  144.6000	  472.0000	    0.0000	   51.3800	    0.0000	    2.2000	  150.0000	  470.0000	   38.0000	  471.0000	   99.7881	    0.0000	    0.0000	    0.0000	    0.0000	    0.0000
  146.0000	   61.3722	  110.0000	   42.9000	    0.0850	    2.0000	   68.0000	  730.0000	    0.0000	   65.0000	  103.3934	  228.0000	  392.0000	   32.0000	   15.2000	  155.0000
  146.0000	  380.6000	  178.2000	   47.8900	    0.2500	    2.0000	   89.0000	  505.0000	  201.5000	  176.5000	   46.4198	  134.0000	  252.0000	   34.1000	   12.0000	   95.0000
  147.0000	   60.6600	  126.1000	   38.9600	    0.1200	    2.8000	   62.0000	 1168.0000	    0.0000	   64.0000	  105.5061	  316.0000	  495.0000	   28.0000	   29.0000	  179.4300
  148.2000	  230.0250	  128.6250	   45.0500	    0.4200	    2.0000	   84.8743	  455.6667	   96.3433	  135.0000	   60.0753	  125.0000	  228.0000	   32.0000	    9.0000	  138.0000
  149.9000	  128.5100	    0.0000	   42.4500	    0.0000	    2.1000	   90.0000	  677.0000	   29.3481	   99.8000	   77.6593	    0.0000	    0.0000	    0.0000	    0.0000	    0.0000
  150.0000	   62.0000	  107.3500	   42.9000	    0.0850	    2.1000	   68.4000	  762.5000	    0.0000	   65.0000	  104.8387	  157.5000	  257.0000	   32.5000	   22.0000	  217.8800
  152.7000	  122.0000	  116.0000	   54.8500	    0.0000	    2.0000	  107.0000	  462.0000	   25.6500	   97.0000	   79.5082	    0.0000	    0.0000	    0.0000	    0.0000	    0.0000
  153.6000	  210.0000	    0.0000	   42.2000	    0.0000	    2.1000	  136.0000	  524.0000	   46.6500	  161.0000	   76.6667	    0.0000	    0.0000	    0.0000	    0.0000	    0.0000
  154.0000	  143.7000	  124.4000	   39.8400	    0.0600	    2.5000	   81.0000	  461.0000	   15.1000	  128.0000	   89.0745	  101.0000	  224.0000	   32.5000	   19.0000	  231.5300
  154.0000	  228.0000	  176.0000	   42.6400	    0.0000	    2.1000	   86.0000	  486.0000	   47.1431	  177.0000	   77.6316	    0.0000	    0.0000	    0.0000	    0.0000	    0.0000
  154.4000	   76.0000	    0.0000	   41.8800	    0.0000	    2.1000	   84.0000	  731.0000	    5.7200	   76.0000	  100.0000	  228.0000	  392.0000	   32.0000	   15.2000	  176.1300
  155.4000	   63.0000	  104.0000	   42.0000	    0.0850	    2.0000	   65.0000	  649.0000	    0.0000	   59.0000	   93.6508	  192.7500	  324.5000	   32.2500	   18.6000	  124.0000
  156.0000	   99.3000	    0.0000	   40.2500	    0.8350	    2.1000	   79.0000	  690.0000	   10.5500	   88.0000	   88.6203	    0.0000	    0.0000	    0.0000	    0.0000	  176.1300
  156.3000	   79.3000	  120.5000	   42.0000	    0.0000	    2.8000	   76.0000	  747.0000	    0.0000	   85.0000	  107.1879	    0.0000	    0.0000	    0.0000	    0.0000	    0.0000
  157.1000	   90.9000	   93.9000	   50.0000	    0.0000	    2.0000	   82.0000	  421.0000	    5.3700	   86.0000	   94.6095	    0.0000	    0.0000	    0.0000	    0.0000	    0.0000
  158.0000	  224.7500	  139.9000	   44.1000	    1.3900	    2.0000	   90.0000	  524.0000	  108.0000	  123.0000	   54.7275	  125.0000	  228.0000	   32.0000	    9.0000	  138.0000
  158.2000	   69.0000	  123.0000	   38.8600	    0.0000	    2.6000	   68.0000	  724.0000	    0.0000	   73.0000	  105.7971	  169.6000	  240.0000	   32.0000	   14.0000	    0.0000
  159.0000	   55.3150	  104.9000	    0.0000	    0.0440	    3.2000	   54.0000	  689.0000	    0.0000	   58.0000	  104.8540	  136.0000	  266.0000	   38.5000	   11.0000	  189.9500
  160.0000	  299.0000	    0.0000	   36.0000	    4.0800	    1.9000	   81.0000	  544.0000	  171.0000	  116.0000	   39.0000	    0.0000	    0.0000	    0.0000	    0.0000	    0.0000
  160.5000	  373.3333	  144.5000	   54.2500	    2.4000	    2.0000	  100.0000	  307.0000	  228.0000	   66.0000	   17.6786	   95.0000	  174.0000	   34.7000	   17.0000	    0.0000
  161.3000	   67.4000	  105.3000	   39.3000	    0.0710	    2.1000	   65.5760	  624.0000	    0.0000	   65.0000	   96.4392	  159.0000	  286.0000	   31.0000	   28.0000	  228.4600
  163.0000	   40.9700	   98.0000	   31.9900	    0.0500	    2.5000	   35.0000	 1578.0000	    0.0000	   42.0000	  102.5140	  263.0000	  330.0000	   34.0000	   25.0000	    0.0000
  163.1000	   70.8333	  119.9000	   39.4400	    0.0420	    3.3000	   62.0000	  941.0000	    0.0000	   73.7000	  104.0471	  215.0000	  400.0000	   28.8000	   32.0000	    0.0000
  163.2000	  219.2667	  157.0000	   44.6800	    0.2050	    2.0000	   78.5000	  553.9000	   72.5000	  137.5000	   62.6645	  146.0000	  252.0000	   35.9500	    8.1100	  113.0000
  163.7000	   57.0000	  105.0000	   38.8900	    0.0000	    2.2000	   76.0000	  917.0000	    0.0000	   61.0000	  107.0175	  196.0000	  270.0000	   31.0000	   20.0000	    0.0000
  164.0000	  128.8917	  133.3250	   50.0000	    0.2000	    2.0000	   80.5000	  609.4000	   37.5000	   89.2500	   69.2313	  135.0000	  233.0000	   33.9000	   12.0000	  110.0000
  164.3000	   65.8000	  112.0000	   38.2000	    0.0000	    2.5000	   62.0000	 1007.0000	    0.0000	   70.0000	  106.3830	  253.0000	  315.0000	   28.0000	   24.0000	    0.0000
  165.0000	  128.0000	  121.5000	   56.2000	    2.1150	    1.8000	  101.0000	  482.0000	   35.0000	   94.0000	   73.0000	    0.0000	    0.0000	    0.0000	    0.0000	  136.5000
  168.0000	   56.8000	   97.1000	   49.7000	    0.8450	    1.9000	   67.0000	  754.0000	    2.0000	   46.0000	   81.0000	    0.0000	    0.0000	    0.0000	    0.0000	  155.7100
  168.8000	   66.3000	  136.0000	   43.3000	    0.0000	    3.1000	   63.0000	 1051.0000	    0.0000	   71.8000	  108.2956	  188.0000	  294.0000	   30.0000	   18.0000	    0.0000
  168.9000	   56.0000	   69.6000	   36.9100	    0.0000	    0.0000	   51.0000	 1051.0000	    0.0000	   56.0000	  100.0000	    0.0000	    0.0000	    0.0000	    0.0000	    0.0000
  172.6000	   77.6000	  145.0000	   39.3600	    0.0000	    2.8000	   67.0000	 1446.0000	    0.0000	   80.4000	  103.6700	    0.0000	    0.0000	    0.0000	    0.0000	    0.0000
  176.0000	   47.4000	  104.0000	   45.2000	    0.1500	    2.0000	   53.0000	 1250.0000	    0.0000	   46.7000	   98.5232	  206.0000	  315.0000	   33.0000	   19.0000	  272.7000
  177.0000	   71.4000	  140.0000	   40.7000	    0.0000	    0.0000	   72.0000	  894.0000	    0.0000	   76.0000	  106.0000	    0.0000	    0.0000	    0.0000	    0.0000	    0.0000
  178.1000	  103.0000	    0.0000	   24.1400	    0.0000	    2.0000	   16.6000	 1345.0000	   19.2000	   88.0000	   85.4369	    0.0000	    0.0000	    0.0000	    0.0000	    0.0000
  178.4000	  144.0000	  139.0000	   40.9000	    0.0000	    2.0000	   71.0000	  561.0000	   37.4251	  108.0000	   75.0000	    0.0000	    0.0000	    0.0000	    0.0000	    0.0000
  183.1000	   59.7000	  106.1000	   54.9800	    0.0000	    2.0000	   72.0000	  894.0000	    0.7700	   60.0000	  100.5025	    0.0000	    0.0000	    0.0000	    0.0000	    0.0000
  188.2000	   63.9000	    0.0000	   44.2100	    0.5800	    2.0000	   78.3000	  762.0000	    0.0000	   65.0000	  101.7214	    0.0000	    0.0000	    0.0000	    0.0000	    0.0000
  189.0000	   57.0000	  100.0000	   46.1600	    0.0000	    2.0000	   57.0000	  724.0000	    2.1500	   57.0000	  100.0000	    0.0000	    0.0000	    0.0000	    0.0000	    0.0000
  199.6000	   48.6500	  100.3000	   41.6800	    0.1500	    2.1000	   48.3500	  882.5000	    0.0000	   48.2500	   99.1655	  333.0000	  600.0000	   33.0000	   17.0000	    0.0000
  208.2000	   44.0000	  118.4000	   27.0400	    0.0710	    6.6000	   49.3000	  710.0000	    0.0000	   49.0000	  111.3636	    0.0000	    0.0000	    0.0000	    0.0000	    0.0000
